,Customer Number,Campaign Period Sales,Historical Sales Volume,Date of First Purchase,Number of Prior Year Transactions,Do Not Direct Mail Solicit,Do Not Email,Do Not Telemarket,Repurchase Method,Last Transaction Channel,Desk,Executive Chair,Standard Chair,Monitor,Printer,Computer,Insurance,Toner,Office Supplies,Number of Employees,Language,Service Level,Date of Last Transaction,Number of Transactions,Email Available,Buy,Customer_engagement_days,Days_since_last_transaction,Customer_engagement_length,Language_group
452,1364652,0.0,675387.4285714286,1996-01-15,22.0,False,False,False,NOTICE,WEB,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2011-11-09,22,True,0,9515,3738,Mid_Term,English
453,1364755,0.0,500448.8171428572,2006-09-06,17.0,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,6-10,Spanish,Premier,2010-11-27,17,True,0,5628,4085,Short_Term,European
455,1365323,0.0,572338.7999999999,2017-02-15,22.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,English,Premier,2011-03-08,22,False,0,1813,3984,Short_Term,English
456,1365638,0.0,651436.8000000002,2007-01-24,14.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,51-100,English,Premier,2014-09-19,14,False,0,5488,2693,Short_Term,English
457,1366431,122.08,188003.19999999998,1986-11-01,20.0,False,False,False,NOTICE,BILLING,N,Y,N,N,N,N,Y,Y,Y,1-5,English,Premier,2015-11-06,20,True,1,12877,2280,Mid_Term,English
460,1372310,0.0,650340.0,2013-12-03,15.0,False,False,False,NOTICE,PHONE,N,N,N,N,N,N,N,N,Y,101-500,English,Premier,2014-08-25,15,False,0,2983,2718,Short_Term,English
461,1375974,0.0,824110.9333333333,1984-11-15,8.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,Y,N,Y,500+,English,Standard,2015-03-06,8,True,0,13593,2525,Mid_Term,English
462,1378582,0.0,57608.57142857143,1983-05-01,22.0,False,False,False,NOTICE,WEB,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2014-09-30,22,True,0,14157,2682,Mid_Term,English
463,1379139,243.31428571428575,471543.0857142857,1973-01-15,19.0,True,True,True,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2013-12-04,19,False,1,17915,2982,Long-Term,English
464,1379455,0.0,1362262.3,1977-01-01,21.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,N,11-50,English,Premier,2013-10-26,21,False,0,16468,3021,Long-Term,English
465,1379463,152.54666666666668,152699.21333333335,1978-10-15,13.0,False,False,False,NOTICE,WEB,N,N,N,N,N,N,N,N,Y,1-5,English,Premier,2014-06-04,13,True,1,15816,2800,Long-Term,English
467,1381618,0.0,557720.0,1991-09-15,8.0,True,True,True,NOTICE,MAIL,Y,N,N,N,N,N,N,N,N,11-50,English,Premier,2013-05-06,8,True,0,11098,3194,Mid_Term,English
468,1382146,0.0,364896.0,1995-04-15,18.0,False,False,False,NOTICE,WEB,N,N,N,N,N,N,Y,N,Y,6-10,Hebrew,Standard,2014-11-29,18,True,0,9790,2622,Mid_Term,European
469,1383928,0.0,259401.14285714287,1997-03-01,20.0,False,False,False,NOTICE,PHONE,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2012-06-29,20,True,0,9104,3505,Mid_Term,English
470,1385315,0.0,77226.13333333335,1984-06-15,20.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,Unknowm,Standard,2015-11-07,20,True,0,13746,2279,Mid_Term,European
471,1386869,0.0,145860.64,1991-04-01,6.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,English,Premier,2013-07-01,6,False,0,11265,3138,Mid_Term,English
472,1387568,0.0,175793.80952380953,2009-11-09,10.0,False,False,False,NOTICE,WEB,N,N,N,N,N,N,N,N,N,6-10,English,Premier,2015-03-17,10,True,0,4468,2514,Short_Term,English
474,1390211,0.0,124879.55199999998,1996-02-15,10.0,False,False,False,NOTICE,BRANCH (POS),N,Y,N,N,N,N,Y,Y,Y,1-5,Unknowm,Premier,2013-03-20,10,True,0,9484,3241,Mid_Term,European
476,1392316,425.1733333333334,122875.09333333335,2009-12-21,17.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,11-50,English,Premier,2012-09-27,17,True,1,4426,3415,Short_Term,English
477,1396048,0.0,800914.2857142858,1990-08-01,15.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2011-07-11,15,True,0,11508,3859,Mid_Term,English
478,1397826,0.0,944944.0,1997-04-01,20.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,11-50,English,Premier,2012-09-05,20,True,0,9073,3437,Mid_Term,English
481,1400803,0.0,325802.39999999997,1996-02-01,10.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,English,Premier,2011-08-15,10,False,0,9498,3824,Mid_Term,English
483,1406669,0.0,199175.67999999996,1991-07-15,11.0,False,True,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,11-50,English,Premier,2007-03-02,11,True,0,11160,5451,Mid_Term,English
484,1407530,0.0,39327.82857142857,1996-08-01,11.0,False,False,False,NOTICE,WEB,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2015-01-03,11,True,0,9316,2587,Mid_Term,English
485,1407682,0.0,332419.6571428572,1997-08-20,19.0,False,False,False,NOTICE,PHONE,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2015-02-14,19,True,0,8932,2545,Mid_Term,English
486,1408113,0.0,359222.43809523806,1998-02-15,13.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2013-08-19,13,False,0,8753,3089,Mid_Term,English
487,1409966,0.0,135633.33333333337,2013-02-15,10.0,False,False,False,AUTO RENEW,WEB,N,N,N,N,N,N,N,N,N,1-5,English,Standard,2012-11-06,10,False,0,3274,3375,Short_Term,English
488,1414154,0.0,501593.1428571429,1989-07-01,24.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2015-01-02,24,True,0,11904,2588,Mid_Term,English
491,1425571,0.0,3328643.136000001,1983-11-01,21.0,False,False,False,AUTO RENEW,AUTO RENEW,N,Y,N,Y,N,N,N,N,Y,500+,English,Premier,2014-12-14,21,True,0,13973,2607,Mid_Term,English
492,1427661,0.0,167166.71999999997,1991-12-15,12.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,English,Premier,2011-06-20,12,True,0,11007,3880,Mid_Term,English
493,1428409,0.0,233252.80000000002,2006-06-30,11.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,Y,Y,6-10,English,Standard,2013-09-29,11,True,0,5696,3048,Short_Term,English
495,1442891,0.0,649768.6247619047,1989-03-01,13.0,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2013-02-25,13,True,0,12026,3264,Mid_Term,English
496,1443923,415.30666666666673,168199.20000000004,2003-04-16,9.0,False,True,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2012-06-06,9,True,1,6867,3528,Mid_Term,English
497,1445259,0.0,891406.2,1990-04-15,18.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,Y,Y,51-100,English,Premier,2012-06-17,18,True,0,11616,3517,Mid_Term,English
499,1451373,0.0,72537.92,1989-07-01,4.0,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,N,11-50,English,Premier,2015-10-01,4,True,0,11904,2316,Mid_Term,English
500,1452640,0.0,222465.22666666665,1997-04-01,7.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,11-50,Portuguese,Standard,2014-02-26,7,True,0,9073,2898,Mid_Term,European
501,1454850,0.0,211075.80000000002,1995-02-01,10.0,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,51-100,English,Premier,2008-08-02,10,True,0,9863,4932,Mid_Term,English
502,1455079,350.90000000000003,240717.40000000002,1995-02-01,14.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,51-100,English,Standard,2014-10-07,14,False,1,9863,2675,Mid_Term,English
504,1463260,588.9666666666667,660820.6,1992-01-01,11.0,False,False,False,NOTICE,WEB,N,N,N,N,N,N,N,N,Y,51-100,English,Standard,2012-02-05,11,True,1,10990,3650,Mid_Term,English
505,1463964,0.0,1156260.0000000002,1984-04-15,21.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,Y,Y,6-10,English,Standard,2011-07-01,21,True,0,13807,3869,Mid_Term,English
506,1466263,114.17142857142858,284971.8857142857,1967-01-01,24.0,True,True,True,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2016-06-16,24,False,1,20121,2057,Long-Term,English
507,1467785,258.8933333333334,654223.4533333335,1993-02-15,19.0,False,True,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,English,Premier,2011-06-11,19,True,1,10579,3889,Mid_Term,English
508,1468785,203.21600000000004,243859.20000000007,1976-11-15,15.0,False,False,False,AUTO RENEW,WEB,N,N,N,N,N,N,N,N,Y,1-5,English,Standard,2014-04-26,15,True,1,16515,2839,Long-Term,English
509,1469138,0.0,208222.16380952383,1995-12-15,22.0,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2013-03-16,22,True,0,9546,3245,Mid_Term,English
511,1473480,0.0,996363.2000000001,1997-03-15,17.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,11-50,English,Premier,2012-10-31,17,True,0,9090,3381,Mid_Term,English
513,1480235,0.0,286071.4285714286,1985-12-15,18.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,Y,N,Y,6-10,English,Premier,2015-03-13,18,True,0,13198,2518,Mid_Term,English
516,1498672,129.96190476190478,185585.60000000003,1975-05-15,17.0,False,False,False,NOTICE,MAIL,N,N,N,N,Y,N,N,N,Y,6-10,English,Standard,2016-02-24,17,True,1,17065,2170,Long-Term,English
517,1499745,0.0,962236.0,1995-04-15,19.0,False,True,False,NOTICE,WEB,N,N,N,N,N,N,N,N,Y,51-100,English,Standard,2013-12-19,19,True,0,9790,2967,Mid_Term,English
518,1499825,801.7360000000001,564422.1440000001,1979-08-01,22.0,False,True,False,AUTO RENEW,AUTO RENEW,Y,N,N,N,N,N,N,N,Y,11-50,English,Premier,2010-01-21,22,True,1,15526,4395,Long-Term,English
519,1500023,0.0,100968.32571428573,2008-07-31,13.0,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2014-05-11,13,True,0,4934,2824,Short_Term,English
520,1500353,463.8933333333334,408226.13333333336,1987-08-01,11.0,True,True,True,NOTICE,WEB,Y,N,N,N,N,N,Y,N,Y,11-50,English,Standard,2012-03-13,11,True,1,12604,3613,Mid_Term,English
521,1503304,0.0,137105.6761904762,1987-06-01,13.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2014-09-20,13,False,0,12665,2692,Mid_Term,English
522,1503339,311.73333333333335,344153.60000000003,1979-12-25,24.0,False,False,False,NOTICE,MAIL,Y,N,N,N,N,N,N,N,Y,51-100,English,Premier,2015-03-16,24,True,1,15380,2515,Long-Term,English
524,1507382,0.0,101149.51466666667,1989-07-01,19.0,False,False,False,NOTICE,BRANCH (POS),N,N,N,N,N,N,N,N,Y,1-5,English,Standard,2012-12-08,19,True,0,11904,3343,Mid_Term,English
525,1508904,186.74666666666667,292071.7866666667,1973-08-15,17.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,English,Standard,2013-06-19,17,True,1,17703,3150,Long-Term,English
526,1516872,0.0,275647.68000000005,1982-06-15,22.0,False,False,False,NOTICE,MAIL,N,Y,N,N,N,N,N,N,Y,51-100,English,Standard,2014-07-08,22,True,0,14477,2766,Mid_Term,English
527,1517185,0.0,2971400.0,2010-02-16,20.0,False,False,False,NOTICE,WEB,N,N,N,N,N,N,N,N,Y,500+,Spanish,Standard,2013-09-06,20,True,0,4369,3071,Short_Term,European
528,1519014,0.0,526722.56,1996-04-15,14.0,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,Y,N,Y,500+,English,Premier,2013-08-18,14,False,0,9424,3090,Mid_Term,English
529,1520015,332.8571428571429,581168.5714285715,1995-04-15,18.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2012-03-02,18,False,1,9790,3624,Mid_Term,English
531,1527789,0.0,250115.80000000002,1992-04-01,11.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,English,Standard,2013-02-26,11,False,0,10899,3263,Mid_Term,English
532,1529477,0.0,1809356.6400000001,2014-10-10,21.0,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,11-50,English,Standard,2011-12-20,21,False,0,2672,3697,Short_Term,English
533,1529949,0.0,420359.68000000005,2007-04-23,6.0,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,51-100,English,Standard,2009-04-04,6,True,0,5399,4687,Short_Term,English
534,1539066,0.0,317838.9760000001,1997-07-01,8.0,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,11-50,English,Premier,2013-03-17,8,True,0,8982,3244,Mid_Term,English
535,1547685,0.0,104133.59999999999,1995-02-01,14.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2013-04-17,14,False,0,9863,3213,Mid_Term,English
536,1547831,0.0,149381.43999999997,1995-11-01,6.0,False,False,False,NOTICE,BRANCH (POS),N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2014-01-06,6,False,0,9590,2949,Mid_Term,English
538,1555383,0.0,103592.53333333331,1983-12-25,8.0,False,False,False,NOTICE,BRANCH (POS),N,N,N,N,N,N,N,N,N,101-500,Unknowm,Premier,2012-10-09,8,True,0,13919,3403,Mid_Term,European
539,1555959,740.7333333333333,1703686.666666667,1993-12-01,23.0,False,False,False,NOTICE,WEB,N,N,N,N,N,N,Y,N,Y,51-100,English,Premier,2010-05-24,23,True,1,10290,4272,Mid_Term,English
540,1559005,497.3428571428572,452582.00000000006,1993-03-15,13.0,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2011-03-12,13,True,1,10551,3980,Mid_Term,English
541,1565931,0.0,121644.49523809525,2002-09-26,16.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,Y,N,Y,6-10,English,Premier,2011-12-02,16,True,0,7069,3715,Mid_Term,English
542,1569295,0.0,209773.3333333333,1988-04-15,20.0,False,False,False,NOTICE,BILLING,N,N,Y,N,N,N,Y,N,Y,101-500,English,Standard,2012-10-26,20,True,0,12346,3386,Mid_Term,English
543,1570637,0.0,657128.16,1996-12-15,21.0,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2014-04-29,21,True,0,9180,2836,Mid_Term,English
544,1571608,409.8333333333333,521717.8333333333,1977-02-01,19.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,51-100,English,Standard,2014-02-07,19,False,1,16437,2917,Long-Term,English
546,1576974,0.0,520260.29333333333,1992-10-02,17.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,11-50,English,Premier,2012-10-28,17,True,0,10715,3384,Mid_Term,English
547,1577044,0.0,482550.8571428572,1990-03-15,18.0,False,False,False,NOTICE,MAIL,N,N,N,N,Y,N,N,N,Y,6-10,English,Premier,2015-02-05,18,True,0,11647,2554,Mid_Term,English
548,1578328,0.0,463717.18095238094,1999-07-26,16.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,Y,N,Y,6-10,English,Standard,2013-10-18,16,True,0,8227,3029,Mid_Term,English
550,1579877,0.0,600709.2891428573,1997-11-01,18.0,False,False,False,AUTO RENEW,PHONE,N,Y,N,N,N,N,N,N,Y,6-10,English,Premier,2012-06-07,18,True,0,8859,3527,Mid_Term,English
551,1580096,0.0,2065224.0000000002,1985-10-15,18.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,101-500,English,Premier,2014-02-08,18,False,0,13259,2916,Mid_Term,English
554,1591945,0.0,28785.219047619048,1992-10-19,2.0,False,False,False,NOTICE,WEB,Y,N,N,N,N,N,N,N,Y,6-10,Italian,Premier,2013-04-08,2,True,0,10698,3222,Mid_Term,European
555,1597847,0.0,298419.0857142857,1977-07-15,20.0,False,False,False,AUTO RENEW,PHONE,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2013-03-16,20,True,0,16273,3245,Long-Term,English
556,1599255,0.0,28044.000000000004,1990-08-01,6.0,False,False,False,NOTICE,BRANCH (POS),N,N,N,N,N,N,Y,N,Y,6-10,English,Standard,2015-07-03,6,True,0,11508,2406,Mid_Term,English
557,1602782,0.0,780418.6666666666,1982-01-01,20.0,True,False,False,NOTICE,WEB,N,N,N,N,Y,N,N,N,Y,6-10,English,Premier,2012-12-10,20,True,0,14642,3341,Long-Term,English
558,1603872,0.0,442562.14285714284,1997-08-15,15.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,N,6-10,Chinese,Premier,2013-04-25,15,True,0,8937,3205,Mid_Term,Asian
559,1605999,0.0,906676.0733333334,2002-11-13,28.0,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,N,1-5,Unknowm,Premier,2014-07-02,28,True,0,7021,2772,Mid_Term,European
560,1606420,0.0,939918.0000000001,1997-07-15,15.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2010-05-03,15,True,0,8968,4293,Mid_Term,English
561,1607084,159.39238095238096,197965.33714285717,1993-12-01,9.0,False,False,False,AUTO RENEW,WEB,N,N,N,N,N,N,N,N,Y,6-10,Unknowm,Premier,2016-04-17,9,True,1,10290,2117,Mid_Term,European
563,1609126,0.0,422158.75,1992-11-01,15.0,False,False,False,AUTO RENEW,PHONE,N,N,N,N,N,N,N,N,N,6-10,English,Standard,2014-08-09,15,True,0,10685,2734,Mid_Term,English
564,1612570,0.0,160972.55999999997,1984-06-24,21.0,False,False,False,NOTICE,BRANCH (POS),N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2013-06-16,21,True,0,13737,3153,Mid_Term,English
565,1612727,208.89523809523808,388545.14285714284,1979-03-15,20.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2014-08-08,20,True,1,15665,2735,Long-Term,English
566,1612753,0.0,467957.84,2011-08-17,19.0,False,True,False,NOTICE,BRANCH (POS),N,N,N,N,N,N,N,N,Y,51-100,English,Premier,2014-01-01,19,True,0,3822,2954,Short_Term,English
567,1617096,404.87619047619046,327949.71428571426,1994-04-01,18.0,False,False,False,NOTICE,WEB,N,N,N,N,N,N,Y,N,Y,6-10,English,Standard,2010-10-03,18,True,1,10169,4140,Mid_Term,English
568,1617575,0.0,789506.2933333333,1986-02-01,14.0,False,True,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,11-50,English,Standard,2013-08-04,14,True,0,13150,3104,Mid_Term,English
569,1618120,0.0,2227239.7333333334,1997-06-15,26.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,51-100,English,Premier,2012-02-14,26,True,0,8998,3641,Mid_Term,English
571,1622897,0.0,48658.77333333334,2016-04-14,14.0,True,True,True,NOTICE,BRANCH (POS),N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2012-08-11,14,True,0,2120,3462,Short_Term,English
573,1624650,0.0,613545.504,1997-05-15,17.0,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,Y,N,Y,1-5,English,Premier,2009-11-09,17,True,0,9029,4468,Mid_Term,English
574,1627030,150.38666666666666,79404.15999999999,1980-04-01,16.0,False,False,False,NOTICE,PHONE,N,N,N,N,N,N,N,N,Y,1-5,English,Premier,2014-06-26,16,True,1,15282,2778,Long-Term,English
575,1630995,269.5733333333333,125351.59999999999,1981-08-01,15.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,11-50,English,Premier,2014-12-03,15,True,1,14795,2618,Long-Term,English
577,1643199,208.7866666666667,503802.22666666674,1984-06-15,19.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,Y,Y,1-5,English,Standard,2012-11-05,19,True,1,13746,3376,Mid_Term,English
578,1643530,621.4990476190477,1417017.8285714288,1994-12-25,24.0,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,Y,N,Y,6-10,English,Premier,2009-04-26,24,True,1,9901,4665,Mid_Term,English
580,1647271,280.0,126000.0,1994-06-15,15.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2013-03-16,15,False,1,10094,3245,Mid_Term,English
581,1649968,0.0,1127395.602666667,1997-03-15,22.0,False,False,False,AUTO RENEW,PHONE,N,N,N,N,N,N,N,N,Y,1-5,English,Standard,2010-05-23,22,True,0,9090,4273,Mid_Term,English
582,1650771,0.0,325156.416,1997-07-15,8.0,False,False,False,AUTO RENEW,MAIL,N,N,N,N,N,N,N,N,Y,11-50,English,Premier,2014-03-08,8,True,0,8968,2888,Mid_Term,English
583,1651244,0.0,820059.4285714286,1988-03-01,15.0,False,False,False,NOTICE,MAIL,N,N,N,N,Y,N,N,N,Y,6-10,English,Standard,2011-04-02,15,True,0,12391,3959,Mid_Term,English
584,1654696,0.0,4464525.0,1998-02-01,9.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,N,500+,English,Standard,2010-02-21,9,False,0,8767,4364,Mid_Term,English
585,1657536,0.0,44341.333333333336,2013-07-04,4.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2012-06-26,4,True,0,3135,3508,Short_Term,English
586,1659048,0.0,122683.73333333332,1991-02-15,22.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2015-04-13,22,False,0,11310,2487,Mid_Term,English
587,1659187,0.0,1502570.0,1996-12-15,15.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,51-100,English,Standard,2011-02-10,15,True,0,9180,4010,Mid_Term,English
590,1666773,304.7695238095239,238329.7676190477,1994-08-15,17.0,False,True,False,AUTO RENEW,PHONE,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2014-02-05,17,True,1,10033,2919,Mid_Term,English
591,1669225,0.0,393601.8095238095,1997-03-15,17.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2014-03-15,17,True,0,9090,2881,Mid_Term,English
592,1671880,0.0,179994.87999999998,1989-05-01,12.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,11-50,English,Premier,2014-08-28,12,True,0,11965,2715,Mid_Term,English
593,1676590,0.0,642464.038095238,1997-02-01,23.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2012-11-13,23,True,0,9132,3368,Mid_Term,English
594,1676623,0.0,651555.8400000002,1986-02-01,15.0,False,False,False,AUTO RENEW,PHONE,N,N,N,N,N,N,Y,N,Y,11-50,English,Premier,2013-10-27,15,True,0,13150,3020,Mid_Term,English
596,1679348,0.0,681110.6095238096,2013-03-22,23.0,True,True,True,AUTO RENEW,PHONE,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2011-02-15,23,True,0,3239,4005,Short_Term,English
597,1680338,765.5142857142857,39806.74285714286,1994-04-15,1.0,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2007-02-23,1,True,1,10155,5458,Mid_Term,English
598,1680687,0.0,1073500.0000000002,1990-02-01,20.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,51-100,English,Standard,2014-09-08,20,True,0,11689,2704,Mid_Term,English
599,1682687,0.0,587542.8571428573,1994-07-15,25.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2009-12-31,25,True,0,10064,4416,Mid_Term,English
600,1689890,0.0,136453.33333333334,1982-02-01,10.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,N,11-50,English,Premier,2014-03-14,10,True,0,14611,2882,Long-Term,English
601,1692275,0.0,89344.36,2014-12-23,21.0,False,False,False,NOTICE,PHONE,N,N,N,N,N,N,N,N,Y,1-5,English,Premier,2014-08-03,21,False,0,2598,2740,Short_Term,English
602,1693153,0.0,161985.6,1996-10-01,21.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2015-02-04,21,False,0,9255,2555,Mid_Term,English
604,1696700,186.92000000000002,67291.20000000001,1974-02-01,18.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,English,Standard,2013-06-17,18,True,1,17533,3152,Long-Term,English
605,1700023,183.6952380952381,375473.0666666667,1966-07-01,14.0,False,False,False,NOTICE,WEB,N,N,N,N,N,N,N,N,Y,6-10,Hebrew,Standard,2015-02-04,14,True,1,20305,2555,Long-Term,European
606,1700359,0.0,284822.8571428571,1996-12-25,17.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2014-04-26,17,True,0,9170,2839,Mid_Term,English
608,1702082,0.0,688527.8399999999,2015-03-05,21.0,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,500+,Spanish,Premier,2012-10-22,21,True,0,2526,3390,Short_Term,European
609,1702108,219.02857142857144,199754.05714285714,1993-03-15,16.0,True,True,True,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2014-05-27,16,False,1,10551,2808,Mid_Term,English
610,1702221,1104.6100000000001,2468803.35,1972-05-01,15.0,False,False,False,AUTO RENEW,MAIL,N,N,N,N,N,N,N,N,Y,51-100,English,Standard,2009-03-04,15,False,1,18174,4718,Long-Term,English
611,1703873,0.0,531623.04,1995-12-01,15.0,False,True,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,1-5,English,Standard,2010-09-27,15,True,0,9560,4146,Mid_Term,English
612,1706892,661.6064,905077.5552,1966-08-15,18.0,False,False,False,AUTO RENEW,AUTO RENEW,Y,Y,N,N,N,N,N,N,Y,11-50,English,Premier,2012-10-03,18,True,1,20260,3409,Long-Term,English
613,1708105,140.18666666666667,11355.12,1977-07-01,3.0,True,True,True,NOTICE,AUTO RENEW,N,N,N,N,N,N,N,N,Y,11-50,English,Premier,2016-09-25,3,True,1,16287,1956,Long-Term,English
615,1711953,0.0,521097.60000000003,2015-08-17,20.0,False,True,False,NOTICE,WEB,N,N,N,N,N,N,N,N,Y,11-50,English,Premier,2011-07-16,20,True,0,2361,3854,Short_Term,English
616,1714223,0.0,102106.66666666664,1996-11-01,14.0,False,False,False,NOTICE,PHONE,N,N,N,N,N,N,N,N,Y,11-50,English,Premier,2014-08-11,14,False,0,9224,2732,Mid_Term,English
617,1715595,0.0,227207.3142857143,1996-02-15,18.0,False,False,False,NOTICE,IT,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2010-12-17,18,False,0,9484,4065,Mid_Term,English
